kind,mode,n,status_changed,evidence_stability_f1,expected_status_accuracy,joint_transition_accuracy
contradiction,A,12,0.5,0.6166666666666667,1.0,0.5833333333333334
contradiction,B,12,0.4166666666666667,0.7777777777777778,0.9166666666666666,0.5
contradiction,C,12,0.3333333333333333,0.7222222222222222,0.9166666666666666,0.5
deletion,A,4,0.75,0.25,0.75,0.5
deletion,B,4,0.5,0.0,0.25,0.0
deletion,C,4,0.5,0.3333333333333333,0.0,0.0
permutation,A,12,0.75,0.4166666666666667,0.25,0.16666666666666666
permutation,B,12,0.0,1.0,0.5833333333333334,0.5833333333333334
permutation,C,12,0.0,1.0,0.5833333333333334,0.5833333333333334
